run_id,scenario,db,initial_stock,started_at,ended_at,duration_s,users,cass_available_end,cass_fail,cass_latency_p50_ms,cass_latency_p95_ms,cass_oos_attempts,cass_oversell_event,cass_paid_orders,cass_throughput_succ_per_s,mongo_available_end,mongo_fail,mongo_latency_p50_ms,mongo_latency_p95_ms,mongo_oos_attempts,mongo_oversell_event,mongo_paid_orders,mongo_throughput_succ_per_s,pg_abort_rate,pg_gave_up,pg_latency_p50_ms,pg_latency_p95_ms,pg_oos_attempts,pg_paid_orders,pg_qty_on_hand_end,pg_retries_total,pg_throughput_succ_per_s
2025-11-05T13:25:42.392291Z_mongodb,concurrent_orders_single_hot_sku,mongodb,1000,2025-11-05T13:25:22.261398Z,2025-11-05T13:25:42.392291Z,20,200,,,,,,,,,0,0,109.3718744959915,174.26516601699404,33290,False,1000,50.0,,,,,,,,,
2025-11-05T13:26:02.522132Z_mongodb,concurrent_orders_single_hot_sku,mongodb,1000,2025-11-05T13:25:42.393973Z,2025-11-05T13:26:02.522132Z,20,200,,,,,,,,,0,0,107.5422500143759,169.1400420095306,33795,False,1000,50.0,,,,,,,,,
2025-11-05T13:25:22.260696Z_mongodb,concurrent_orders_single_hot_sku,mongodb,1000,2025-11-05T13:25:02.118520Z,2025-11-05T13:25:22.260696Z,20,200,,,,,,,,,0,0,106.968207997852,168.77604101318866,34148,False,1000,50.0,,,,,,,,,
2025-11-05T13:18:50.952107Z_postgres,concurrent_orders_single_hot_sku,postgres,1000,2025-11-05T13:18:30.263192Z,2025-11-05T13:18:50.952107Z,20,200,,,,,,,,,,,,,,,,,0.4901826604200663,5748,15.124104000278749,84.06145899789408,31992,1000,0,37248,50.0
2025-11-05T13:18:30.262715Z_postgres,concurrent_orders_single_hot_sku,postgres,1000,2025-11-05T13:18:09.569943Z,2025-11-05T13:18:30.262715Z,20,200,,,,,,,,,,,,,,,,,0.5195635024980279,6143,15.149895989452489,85.90629199170507,29399,1000,0,39518,50.0
2025-11-05T13:19:11.562667Z_postgres,concurrent_orders_single_hot_sku,postgres,1000,2025-11-05T13:18:50.952690Z,2025-11-05T13:19:11.562667Z,20,200,,,,,,,,,,,,,,,,,0.5017744216452757,5804,15.633396003977396,83.88991601532325,30540,1000,0,37610,50.0
2025-11-05T13:37:01.727034Z_cassandra,concurrent_orders_single_hot_sku,cassandra,1000,2025-11-05T13:36:41.058188Z,2025-11-05T13:37:01.727034Z,20,200,523,0,131.0084170254413,337.3024169995915,0,True,19601,980.05,,,,,,,,,,,,,,,,,
2025-11-05T13:36:41.057659Z_cassandra,concurrent_orders_single_hot_sku,cassandra,1000,2025-11-05T13:36:20.388134Z,2025-11-05T13:36:41.057659Z,20,200,470,0,128.55566601501778,320.2604580146726,0,True,20699,1034.95,,,,,,,,,,,,,,,,,
2025-11-05T13:37:22.329928Z_cassandra,concurrent_orders_single_hot_sku,cassandra,1000,2025-11-05T13:37:01.727846Z,2025-11-05T13:37:22.329928Z,20,200,530,0,129.9566249945201,352.16358298202977,0,True,19189,959.45,,,,,,,,,,,,,,,,,
2025-11-05T13:26:02.522132Z_mongodb,concurrent_orders_single_hot_sku,mongodb,1000,2025-11-05T13:25:42.393973Z,2025-11-05T13:26:02.522132Z,20.0,200,,,,,,,,,0,0,107.5422500143759,169.1400420095306,33795,False,1000,50.0,,,,,,,,,
