run_id,scenario,db,concurrency,started_at,ended_at,duration_s,batch_size,counts,devices,engine,error_rate,latency_ms,throughput_points_per_s
2025-11-05T17:23:43.303764Z_mongodb,iot_sensor_writes,mongodb,64,2025-11-05T17:23:23.281682Z,2025-11-05T17:23:43.303764Z,20.0,1,"{'ok_points': 0, 'batches': 102134, 'errors': 102134}",100000,mongodb,1.0,"{'p50': 0.0, 'p95': 0.0}",0.0
2025-11-05T17:23:23.281133Z_mongodb,iot_sensor_writes,mongodb,64,2025-11-05T17:23:03.258852Z,2025-11-05T17:23:23.281133Z,20.0,1,"{'ok_points': 0, 'batches': 101921, 'errors': 101921}",100000,mongodb,1.0,"{'p50': 0.0, 'p95': 0.0}",0.0
2025-11-05T17:23:03.258332Z_mongodb,iot_sensor_writes,mongodb,64,2025-11-05T17:22:43.230947Z,2025-11-05T17:23:03.258332Z,20.0,1,"{'ok_points': 0, 'batches': 101754, 'errors': 101754}",100000,mongodb,1.0,"{'p50': 0.0, 'p95': 0.0}",0.0
2025-11-05T17:29:35.039852Z_mongodb,iot_sensor_writes,mongodb,64,2025-11-05T17:29:14.986338Z,2025-11-05T17:29:35.039852Z,20.0,1,"{'ok_points': 107218, 'batches': 107218, 'errors': 0}",100000,mongodb,0.0,"{'p50': 10.99, 'p95': 22.08}",5359.7
2025-11-05T17:22:43.230186Z_postgres,iot_sensor_writes,postgres,64,2025-11-05T17:22:23.166154Z,2025-11-05T17:22:43.230186Z,20.01,1,"{'ok_points': 165919, 'batches': 165919, 'errors': 0}",100000,postgres,0.0,"{'p50': 7.41, 'p95': 9.92}",8289.9
2025-11-05T17:22:23.165640Z_postgres,iot_sensor_writes,postgres,64,2025-11-05T17:22:03.103481Z,2025-11-05T17:22:23.165640Z,20.01,1,"{'ok_points': 165731, 'batches': 165731, 'errors': 0}",100000,postgres,0.0,"{'p50': 7.4, 'p95': 10.1}",8281.4
2025-11-05T17:22:03.102924Z_postgres,iot_sensor_writes,postgres,64,2025-11-05T17:21:43.021264Z,2025-11-05T17:22:03.102924Z,20.01,1,"{'ok_points': 169156, 'batches': 169156, 'errors': 0}",100000,postgres,0.0,"{'p50': 7.33, 'p95': 9.84}",8452.2
2025-11-05T17:24:03.616985Z_cassandra,iot_sensor_writes,cassandra,64,2025-11-05T17:23:43.304330Z,2025-11-05T17:24:03.616985Z,20.02,1,"{'ok_points': 143048, 'batches': 143048, 'errors': 0}",100000,cassandra,0.0,"{'p50': 7.86, 'p95': 11.73}",7146.8
2025-11-05T17:24:24.082233Z_cassandra,iot_sensor_writes,cassandra,64,2025-11-05T17:24:03.617585Z,2025-11-05T17:24:24.082233Z,20.08,1,"{'ok_points': 142702, 'batches': 142702, 'errors': 0}",100000,cassandra,0.0,"{'p50': 7.88, 'p95': 11.68}",7105.4
2025-11-05T17:24:44.413683Z_cassandra,iot_sensor_writes,cassandra,64,2025-11-05T17:24:24.082830Z,2025-11-05T17:24:44.413683Z,20.02,1,"{'ok_points': 141105, 'batches': 141105, 'errors': 0}",100000,cassandra,0.0,"{'p50': 7.88, 'p95': 11.75}",7049.4
