run_id,scenario,db,concurrency,started_at,ended_at,duration_s,counts,devices,engine,errors,latency_ms,points_per_device,throughput_reads_per_s,window_seconds
2025-11-05T20:50:09.717250Z_mongodb,iot_time_series,mongodb,64,2025-11-05T20:49:46.248087Z,2025-11-05T20:50:09.717250Z,20.05,"{'reads': 12268, 'points': 198915}",10000,mongodb,0,"{'ts_read': {'p50': 100.79, 'p95': 181.23}}",50,611.9,30
2025-11-05T20:49:22.576681Z_mongodb,iot_time_series,mongodb,64,2025-11-05T20:48:59.025666Z,2025-11-05T20:49:22.576681Z,20.05,"{'reads': 12119, 'points': 194080}",10000,mongodb,0,"{'ts_read': {'p50': 102.26, 'p95': 186.18}}",50,604.3,30
2025-11-05T20:49:46.247025Z_mongodb,iot_time_series,mongodb,64,2025-11-05T20:49:22.577770Z,2025-11-05T20:49:46.247025Z,20.05,"{'reads': 12222, 'points': 196878}",10000,mongodb,0,"{'ts_read': {'p50': 100.42, 'p95': 187.4}}",50,609.5,30
2025-11-05T20:48:25.741554Z_postgres,iot_time_series,postgres,64,2025-11-05T20:47:52.380887Z,2025-11-05T20:48:25.741554Z,20.0,"{'reads': 354598, 'points': 2237302}",10000,postgres,0,"{'ts_read': {'p50': 2.98, 'p95': 8.11}}",50,17727.6,30
2025-11-05T20:47:52.380007Z_postgres,iot_time_series,postgres,64,2025-11-05T20:47:18.622372Z,2025-11-05T20:47:52.380007Z,20.0,"{'reads': 356431, 'points': 2113741}",10000,postgres,0,"{'ts_read': {'p50': 2.96, 'p95': 8.04}}",50,17818.0,30
2025-11-05T20:48:59.025111Z_postgres,iot_time_series,postgres,64,2025-11-05T20:48:25.742165Z,2025-11-05T20:48:59.025111Z,20.01,"{'reads': 354404, 'points': 2208624}",10000,postgres,0,"{'ts_read': {'p50': 2.96, 'p95': 8.15}}",50,17713.5,30
2025-11-05T21:37:12.942377Z_cassandra,iot_time_series,cassandra,64,2025-11-05T21:36:06.657526Z,2025-11-05T21:37:12.942377Z,19.98,"{'reads': 128579, 'points': 0}",10000,cassandra,0,"{'ts_read': {'p50': 9.07, 'p95': 14.34}}",50,6434.7,30
2025-11-05T21:35:02.248691Z_cassandra,iot_time_series,cassandra,64,2025-11-05T21:33:57.536693Z,2025-11-05T21:35:02.248691Z,19.97,"{'reads': 133052, 'points': 0}",10000,cassandra,0,"{'ts_read': {'p50': 8.87, 'p95': 13.61}}",50,6662.5,30
2025-11-05T21:36:06.657033Z_cassandra,iot_time_series,cassandra,64,2025-11-05T21:35:02.249236Z,2025-11-05T21:36:06.657033Z,19.98,"{'reads': 125581, 'points': 0}",10000,cassandra,0,"{'ts_read': {'p50': 9.2, 'p95': 14.84}}",50,6285.9,30
2025-11-05T20:49:22.576681Z_mongodb,iot_time_series,mongodb,64,2025-11-05T20:48:59.025666Z,2025-11-05T20:49:22.576681Z,20.05,"{'reads': 12119, 'points': 194080}",10000,mongodb,0,"{'ts_read': {'p50': 102.26, 'p95': 186.18}}",50,604.3,30
2025-11-05T20:49:46.247025Z_mongodb,iot_time_series,mongodb,64,2025-11-05T20:49:22.577770Z,2025-11-05T20:49:46.247025Z,20.05,"{'reads': 12222, 'points': 196878}",10000,mongodb,0,"{'ts_read': {'p50': 100.42, 'p95': 187.4}}",50,609.5,30
2025-11-05T20:50:09.717250Z_mongodb,iot_time_series,mongodb,64,2025-11-05T20:49:46.248087Z,2025-11-05T20:50:09.717250Z,20.05,"{'reads': 12268, 'points': 198915}",10000,mongodb,0,"{'ts_read': {'p50': 100.79, 'p95': 181.23}}",50,611.9,30
2025-11-05T20:47:52.380007Z_postgres,iot_time_series,postgres,64,2025-11-05T20:47:18.622372Z,2025-11-05T20:47:52.380007Z,20.0,"{'reads': 356431, 'points': 2113741}",10000,postgres,0,"{'ts_read': {'p50': 2.96, 'p95': 8.04}}",50,17818.0,30
2025-11-05T20:48:59.025111Z_postgres,iot_time_series,postgres,64,2025-11-05T20:48:25.742165Z,2025-11-05T20:48:59.025111Z,20.01,"{'reads': 354404, 'points': 2208624}",10000,postgres,0,"{'ts_read': {'p50': 2.96, 'p95': 8.15}}",50,17713.5,30
2025-11-05T20:48:25.741554Z_postgres,iot_time_series,postgres,64,2025-11-05T20:47:52.380887Z,2025-11-05T20:48:25.741554Z,20.0,"{'reads': 354598, 'points': 2237302}",10000,postgres,0,"{'ts_read': {'p50': 2.98, 'p95': 8.11}}",50,17727.6,30
2025-11-05T21:36:06.657033Z_cassandra,iot_time_series,cassandra,64,2025-11-05T21:35:02.249236Z,2025-11-05T21:36:06.657033Z,19.98,"{'reads': 125581, 'points': 0}",10000,cassandra,0,"{'ts_read': {'p50': 9.2, 'p95': 14.84}}",50,6285.9,30
2025-11-05T21:35:02.248691Z_cassandra,iot_time_series,cassandra,64,2025-11-05T21:33:57.536693Z,2025-11-05T21:35:02.248691Z,19.97,"{'reads': 133052, 'points': 0}",10000,cassandra,0,"{'ts_read': {'p50': 8.87, 'p95': 13.61}}",50,6662.5,30
2025-11-05T21:37:12.942377Z_cassandra,iot_time_series,cassandra,64,2025-11-05T21:36:06.657526Z,2025-11-05T21:37:12.942377Z,19.98,"{'reads': 128579, 'points': 0}",10000,cassandra,0,"{'ts_read': {'p50': 9.07, 'p95': 14.34}}",50,6434.7,30
