run_id,scenario,db,sku,customers,initial_stock,orders_per_user,concurrency,failure_rate,started_at,ended_at,duration_s,ok,failed,out_of_stock,total,tps,waves,wave_size,attempted,compensations,exception_count,pg_rollback_count,cas_retries
2025-11-03T21:11:49.281910Z_mongodb,payments,mongodb,SKU-PAY-1762204245,1000,50000,1,100,0.4,2025-11-03T21:11:47.240238Z,2025-11-03T21:11:49.281910Z,1.9086706669986597,1180,820,0,2000,1047.8497074327408,20,100,2000,820,0,0,0
2025-11-03T21:11:53.226549Z_mongodb,payments,mongodb,SKU-PAY-1762204245,1000,50000,1,100,0.4,2025-11-03T21:11:51.314648Z,2025-11-03T21:11:53.226549Z,1.8423187079970376,1207,793,0,2000,1085.588498514675,20,100,2000,793,0,0,0
2025-11-03T21:11:57.056000Z_mongodb,payments,mongodb,SKU-PAY-1762204245,1000,50000,1,100,0.4,2025-11-03T21:11:55.129689Z,2025-11-03T21:11:57.056000Z,1.8537708750009187,1215,785,0,2000,1078.881984268422,20,100,2000,785,0,0,0
2025-11-03T21:11:51.313417Z_mongodb,payments,mongodb,SKU-PAY-1762204245,1000,50000,1,100,0.4,2025-11-03T21:11:49.283034Z,2025-11-03T21:11:51.313417Z,1.9619118750051712,1200,800,0,2000,1019.4137797319405,20,100,2000,800,0,0,0
2025-11-03T21:11:55.128299Z_mongodb,payments,mongodb,SKU-PAY-1762204245,1000,50000,1,100,0.4,2025-11-03T21:11:53.227910Z,2025-11-03T21:11:55.128299Z,1.8312999170011608,1195,805,0,2000,1092.120401160228,20,100,2000,805,0,0,0
2025-11-03T21:10:58.032681Z_postgres,payments,postgres,SKU-PAY-1762204245,1000,50000,1,100,0.4,2025-11-03T21:10:46.035087Z,2025-11-03T21:10:58.032681Z,11.914593749999767,1198,802,0,2000,167.8613674931249,20,100,2000,0,0,0,0
2025-11-03T21:11:34.878002Z_postgres,payments,postgres,SKU-PAY-1762204245,1000,50000,1,100,0.4,2025-11-03T21:11:22.572855Z,2025-11-03T21:11:34.878002Z,12.270957291999366,1193,807,0,2000,162.9864689777704,20,100,2000,0,0,0,0
2025-11-03T21:11:22.572308Z_postgres,payments,postgres,SKU-PAY-1762204245,1000,50000,1,100,0.4,2025-11-03T21:11:10.109082Z,2025-11-03T21:11:22.572308Z,12.511571875002119,1233,767,0,2000,159.85201699523955,20,100,2000,0,0,0,0
2025-11-03T21:11:10.108512Z_postgres,payments,postgres,SKU-PAY-1762204245,1000,50000,1,100,0.4,2025-11-03T21:10:58.033598Z,2025-11-03T21:11:10.108512Z,12.049991416999546,1171,829,0,2000,165.9752219556353,20,100,2000,0,0,0,0
2025-11-03T21:11:47.239653Z_postgres,payments,postgres,SKU-PAY-1762204245,1000,50000,1,100,0.4,2025-11-03T21:11:34.878565Z,2025-11-03T21:11:47.239653Z,12.339198624998971,1212,788,0,2000,162.085080302382,20,100,2000,0,0,0,0
