run_id,scenario,db,concurrency,started_at,ended_at,duration_s,counts,engine,errors,latency_ms,page_size,throughput_reads_per_s
2025-11-05T16:47:44.437421Z_mongodb,social_media_feed_reads,mongodb,64,2025-11-05T16:47:23.406398Z,2025-11-05T16:47:44.437421Z,20.01,{'reads': 93239},mongodb,0,"{'feed_read': {'p50': 12.61, 'p95': 25.58}}",50,4660.6
2025-11-05T16:48:26.423303Z_mongodb,social_media_feed_reads,mongodb,64,2025-11-05T16:48:05.418917Z,2025-11-05T16:48:26.423303Z,20.01,{'reads': 92979},mongodb,0,"{'feed_read': {'p50': 12.7, 'p95': 25.45}}",50,4647.8
2025-11-05T16:48:05.418330Z_mongodb,social_media_feed_reads,mongodb,64,2025-11-05T16:47:44.437990Z,2025-11-05T16:48:05.418330Z,20.01,{'reads': 93302},mongodb,0,"{'feed_read': {'p50': 12.61, 'p95': 25.47}}",50,4663.6
2025-11-05T16:46:39.982977Z_postgres,social_media_feed_reads,postgres,64,2025-11-05T16:46:18.239216Z,2025-11-05T16:46:39.982977Z,20.0,{'reads': 303892},postgres,0,"{'feed_read': {'p50': 3.36, 'p95': 10.03}}",50,15191.2
2025-11-05T16:47:01.653128Z_postgres,social_media_feed_reads,postgres,64,2025-11-05T16:46:39.983511Z,2025-11-05T16:47:01.653128Z,20.0,{'reads': 303537},postgres,0,"{'feed_read': {'p50': 3.35, 'p95': 10.1}}",50,15173.4
2025-11-05T16:47:23.405648Z_postgres,social_media_feed_reads,postgres,64,2025-11-05T16:47:01.653696Z,2025-11-05T16:47:23.405648Z,20.01,{'reads': 304655},postgres,0,"{'feed_read': {'p50': 3.33, 'p95': 10.13}}",50,15228.1
2025-11-05T17:02:39.542130Z_cassandra,social_media_feed_reads,cassandra,64,2025-11-05T17:02:02.275412Z,2025-11-05T17:02:39.542130Z,20.0,{'reads': 50111},cassandra,0,"{'feed_read': {'p50': 22.81, 'p95': 46.51}}",50,2505.1
2025-11-05T17:03:17.317744Z_cassandra,social_media_feed_reads,cassandra,64,2025-11-05T17:02:39.542652Z,2025-11-05T17:03:17.317744Z,19.99,{'reads': 48189},cassandra,0,"{'feed_read': {'p50': 23.46, 'p95': 49.11}}",50,2410.8
2025-11-05T17:02:02.274820Z_cassandra,social_media_feed_reads,cassandra,64,2025-11-05T17:01:25.237038Z,2025-11-05T17:02:02.274820Z,19.99,{'reads': 50072},cassandra,0,"{'feed_read': {'p50': 23.12, 'p95': 46.96}}",50,2504.4
2025-11-05T16:47:44.437421Z_mongodb,social_media_feed_reads,mongodb,64,2025-11-05T16:47:23.406398Z,2025-11-05T16:47:44.437421Z,20.01,{'reads': 93239},mongodb,0,"{'feed_read': {'p50': 12.61, 'p95': 25.58}}",50,4660.6
2025-11-05T16:48:26.423303Z_mongodb,social_media_feed_reads,mongodb,64,2025-11-05T16:48:05.418917Z,2025-11-05T16:48:26.423303Z,20.01,{'reads': 92979},mongodb,0,"{'feed_read': {'p50': 12.7, 'p95': 25.45}}",50,4647.8
2025-11-05T16:48:05.418330Z_mongodb,social_media_feed_reads,mongodb,64,2025-11-05T16:47:44.437990Z,2025-11-05T16:48:05.418330Z,20.01,{'reads': 93302},mongodb,0,"{'feed_read': {'p50': 12.61, 'p95': 25.47}}",50,4663.6
2025-11-05T16:46:39.982977Z_postgres,social_media_feed_reads,postgres,64,2025-11-05T16:46:18.239216Z,2025-11-05T16:46:39.982977Z,20.0,{'reads': 303892},postgres,0,"{'feed_read': {'p50': 3.36, 'p95': 10.03}}",50,15191.2
2025-11-05T16:47:01.653128Z_postgres,social_media_feed_reads,postgres,64,2025-11-05T16:46:39.983511Z,2025-11-05T16:47:01.653128Z,20.0,{'reads': 303537},postgres,0,"{'feed_read': {'p50': 3.35, 'p95': 10.1}}",50,15173.4
2025-11-05T16:47:23.405648Z_postgres,social_media_feed_reads,postgres,64,2025-11-05T16:47:01.653696Z,2025-11-05T16:47:23.405648Z,20.01,{'reads': 304655},postgres,0,"{'feed_read': {'p50': 3.33, 'p95': 10.13}}",50,15228.1
2025-11-05T17:02:39.542130Z_cassandra,social_media_feed_reads,cassandra,64,2025-11-05T17:02:02.275412Z,2025-11-05T17:02:39.542130Z,20.0,{'reads': 50111},cassandra,0,"{'feed_read': {'p50': 22.81, 'p95': 46.51}}",50,2505.1
2025-11-05T17:02:02.274820Z_cassandra,social_media_feed_reads,cassandra,64,2025-11-05T17:01:25.237038Z,2025-11-05T17:02:02.274820Z,19.99,{'reads': 50072},cassandra,0,"{'feed_read': {'p50': 23.12, 'p95': 46.96}}",50,2504.4
2025-11-05T17:03:17.317744Z_cassandra,social_media_feed_reads,cassandra,64,2025-11-05T17:02:39.542652Z,2025-11-05T17:03:17.317744Z,19.99,{'reads': 48189},cassandra,0,"{'feed_read': {'p50': 23.46, 'p95': 49.11}}",50,2410.8
